from,to,weight
9,17,5.666303e+00
9,18,2.115770e+00
9,19,1.257137e+00
9,20,1.057779e+01
9,21,5.250997e+00
9,22,7.214137e+00
9,23,6.559643e+00
9,24,3.204299e+00
10,0,1.646169e-10
10,1,1.525154e-10
10,2,1.343702e-11
10,3,6.297696e-12
10,4,6.799095e-12
10,5,2.931586e+01
10,6,1.425730e-10
10,7,1.328130e-11
10,8,5.053623e-12
10,9,7.382179e-12
10,11,2.105976e+01
10,12,3.335214e-08
10,13,4.610370e-11
10,14,9.460968e-12
10,15,3.691929e-25
10,16,4.702497e-02
10,17,1.554672e+01
10,18,3.431016e-06
10,19,3.587904e-10
10,20,1.501514e-02
10,21,1.433374e-19
10,22,1.280796e-04
10,23,9.758583e+00
10,24,9.833597e-05
11,0,8.024119e+00
11,1,5.654938e+00
11,2,3.278309e+00
11,3,2.325878e+00
11,4,1.077238e+00
11,5,2.166027e+00
11,6,5.577953e+00
11,7,3.659343e+00
11,8,2.029716e+00
11,9,1.046698e+00
11,10,2.813318e-06
11,12,4.739287e+00
11,13,3.928233e+00
11,14,2.412959e+00
11,15,1.837098e+00
11,16,1.412233e-04
11,17,5.174530e-01
11,18,3.574017e+00
11,19,3.680603e+00
11,20,3.588310e+00
11,21,2.221552e+00
11,22,1.403934e-01
11,23,5.742419e-01
11,24,3.279834e+00
12,0,1.696157e+00
12,1,1.035943e+00
12,2,8.485508e-01
12,3,7.821762e-01
12,4,7.885845e-01
12,5,1.453397e-02
12,6,9.545974e-01
12,7,8.593170e-01
12,8,8.111507e-01
12,9,7.721365e-01
12,10,2.334172e+00
12,11,3.384202e-02
12,13,8.788699e-01
12,14,9.177413e-01
12,15,4.339096e+00
12,16,2.572438e+00
12,17,6.001765e-01
12,18,1.140174e+00
12,19,1.176736e+00
12,20,8.510668e+00
12,21,4.800905e+00
12,22,3.117002e+00
12,23,1.355836e+00
12,24,1.444227e+00
13,0,9.552841e-01
13,1,7.810433e-01
13,2,6.847415e-01
13,3,7.975527e-01
13,4,8.429360e-01
13,5,1.262840e-01
13,6,7.320206e-01
13,7,6.942529e-01
13,8,7.923112e-01
13,9,8.275175e-01
13,10,5.196190e+00
13,11,2.496184e-01
13,12,7.635010e-01
13,14,8.303371e-01
13,15,4.947756e+00
13,16,4.979570e+00
13,17,2.087176e+00
13,18,1.421038e+00
13,19,1.181011e+00
13,20,9.963525e+00
13,21,5.532166e+00
13,22,5.535120e+00
13,23,3.100909e+00
13,24,2.128619e+00
14,0,6.558636e-01
14,1,5.350023e-01
14,2,5.503934e-01
14,3,6.522625e-01
14,4,6.969102e-01
14,5,8.324130e-01
14,6,5.571896e-01
14,7,4.952381e-01
14,8,5.307602e-01
14,9,6.813609e-01
14,10,6.694064e+00
14,11,1.078970e+00
14,12,7.345492e-01
14,13,6.686065e-01
14,15,4.925903e+00
14,16,6.850737e+00
14,17,3.761661e+00
14,18,1.575856e+00
14,19,1.054419e+00
14,20,1.034791e+01
14,21,5.327722e+00
14,22,6.527582e+00
14,23,4.577784e+00
14,24,2.454759e+00
15,0,3.206119e-42
15,1,2.808784e-37
15,2,4.811893e-35
15,3,1.334349e-32
15,4,6.340871e-31
15,5,1.029506e-20
15,6,2.695966e-37
15,7,6.467306e-35
15,8,8.539350e-33
15,9,6.529963e-31
15,10,5.691288e+01
15,11,1.178920e-20
15,12,2.188810e-34
15,13,2.185782e-34
15,14,1.211717e-32
15,16,4.172119e+01
15,17,7.174783e-16
15,18,3.669369e-31
15,19,1.288096e-33
15,20,4.517289e-51
15,21,2.145659e-04
15,22,3.167403e+01
15,23,5.111935e-12
15,24,1.071850e-27
16,0,1.003375e-13
16,1,2.366603e-13
16,2,3.783139e-14
16,3,3.011076e-14
16,4,5.562917e-14
16,5,1.532643e+01
16,6,2.336500e-13
16,7,4.038629e-14
16,8,2.793527e-14
16,9,4.994903e-14
16,10,3.837601e+00
16,11,1.144172e+01
16,12,1.536302e-10
16,13,2.320239e-13
16,14,5.346430e-14
16,15,1.037957e-12
16,17,8.880324e+00
16,18,2.545739e-08
16,19,2.443082e-12
16,20,1.104954e+00
16,21,2.763784e-08
16,22,1.581040e-01
16,23,7.070864e+00
16,24,1.988451e-06
17,0,1.948116e-01
17,1,5.351491e-02
17,2,1.078884e-02
17,3,3.334010e-03
17,4,1.803123e-03
17,5,2.258964e+00
17,6,5.275667e-02
17,7,1.097147e-02
17,8,3.226949e-03
17,9,1.941211e-03
17,10,6.368977e-05
17,11,1.164961e+00
17,12,9.326890e-02
17,13,1.831468e-02
17,14,4.783810e-03
17,15,1.955312e+00
17,16,7.115983e-04
17,18,1.407095e-01
17,19,3.077335e-02
17,20,3.623959e+00
17,21,2.422712e+00
17,22,1.871256e-01
17,23,5.954291e-01
17,24,2.387482e-01
18,0,2.920929e-01
18,1,1.351900e-01
18,2,1.002039e-01
18,3,8.839025e-02
18,4,7.090960e-02
18,5,2.923307e-02
18,6,1.372449e-01
18,7,9.487292e-02
18,8,7.504943e-02
18,9,7.769502e-02
18,10,1.730581e+00
18,11,4.995844e-02
18,12,1.374583e-01
18,13,1.287793e-01
18,14,1.023806e-01
18,15,4.965147e+00
18,16,1.883256e+00
18,17,4.248217e-01
18,19,2.058832e-01
18,20,8.027625e+00
18,21,5.651219e+00
18,22,2.794830e+00
18,23,1.135894e+00
18,24,5.805176e-01
19,0,2.693893e-01
19,1,1.953706e-01
19,2,1.913647e-01
19,3,2.425347e-01
19,4,2.475550e-01
19,5,7.119628e-02
19,6,2.175841e-01
19,7,1.721722e-01
19,8,2.266851e-01
19,9,2.447578e-01
19,10,4.573771e+00
19,11,1.435327e-01
19,12,2.624787e-01
19,13,2.214492e-01
19,14,2.716796e-01
19,15,6.252322e+00
19,16,4.610385e+00
19,17,1.411779e+00
19,18,6.601679e-01
19,20,1.039245e+01
19,21,6.671397e+00
19,22,5.281637e+00
19,23,2.600206e+00
19,24,1.201278e+00
20,0,9.566789e-107
20,1,6.809802e-102
20,2,1.734192e-99
20,3,4.347372e-97
20,4,2.848118e-95
20,5,1.887870e-84
20,6,6.503069e-102
20,7,1.796498e-99
20,8,3.894782e-97
20,9,2.274183e-95
20,10,3.026155e-41
20,11,8.833694e-75
20,12,1.309674e-95
20,13,7.910622e-97
20,14,1.154453e-95
20,15,1.073476e+02
20,16,1.846458e-41
20,17,2.044319e-68
20,18,6.822740e-90
20,19,9.517599e-95
20,21,9.883648e+01
20,22,4.642288e-27
20,23,9.722473e-61
20,24,5.250602e-84
21,0,5.453395e-48
21,1,3.849922e-43
21,2,1.083807e-40
21,3,2.174693e-38
21,4,1.026755e-36
21,5,2.673952e-26
21,6,3.894248e-43
21,7,1.197897e-40
21,8,2.423619e-38
21,9,7.252733e-37
21,10,3.314098e+01
21,11,1.143507e-25
21,12,9.431104e-40
21,13,8.153813e-40
21,14,3.907199e-38
21,15,1.058632e+01
21,16,2.034534e+01
21,17,1.085978e-20
21,18,1.267352e-36
21,19,3.273494e-39
21,20,1.891248e-46
21,22,1.599164e+01
21,23,2.870678e-16
21,24,7.647728e-33
22,0,4.074405e-20
22,1,5.771471e-19
22,2,3.439227e-19
22,3,6.259447e-19
22,4,2.542414e-18
22,5,1.734753e-01
22,6,4.986151e-19
22,7,2.907494e-19
22,8,4.186378e-19
22,9,1.920108e-18
22,10,7.761244e+00
22,11,2.468534e-02
22,12,4.082596e-16
22,13,1.560869e-18
22,14,1.201537e-18
22,15,2.404553e-09
22,16,2.845887e+00
22,17,5.202723e-02
22,18,1.566498e-13
22,19,1.715557e-17
22,20,5.030307e-02
22,21,1.348876e-06
22,23,7.210010e-02
22,24,3.248601e-11
23,0,1.056195e-04
23,1,3.068298e-05
23,2,5.774954e-06
23,3,2.763575e-06
23,4,1.595715e-06
23,5,8.522892e-01
23,6,3.000530e-05
23,7,6.154295e-06
23,8,1.734864e-06
23,9,1.526376e-06
23,10,2.205206e-03
23,11,2.766019e-01
23,12,1.535071e-04
23,13,1.146869e-05
23,14,4.523683e-06
23,15,1.582768e+00
23,16,3.849458e-03
23,17,2.283802e-01
23,18,6.067175e-04
23,19,3.161475e-05
23,20,2.441452e+00
23,21,1.788003e+00
23,22,2.803806e-01
23,24,3.278603e-03
24,0,2.088352e-02
24,1,9.169210e-03
24,2,5.095100e-03
24,3,4.426643e-03
24,4,3.433034e-03
24,5,2.397640e-02
24,6,8.650600e-03
24,7,4.806950e-03
24,8,4.216850e-03
24,9,3.816488e-03
24,10,1.276351e+00
24,11,2.234961e-02
24,12,1.507336e-02
24,13,7.521580e-03
24,14,5.223759e-03
24,15,4.545734e+00
24,16,1.240758e+00
24,17,2.111664e-01
24,18,4.046896e-02
24,19,1.360818e-02
24,20,6.717197e+00
24,21,4.914281e+00
24,22,1.975731e+00
24,23,5.796937e-01
