id,b,k,sd
0,0,0,3.245140e-02
1,0,1,1.512013e-02
2,0,2,7.855730e-03
3,0,3,5.022873e-03
4,0,4,2.848331e-03
5,1,0,3.658676e-02
6,1,1,1.490713e-02
7,1,2,8.049052e-03
8,1,3,4.244081e-03
9,1,4,2.606839e-03
10,2,0,6.671838e-02
11,2,1,3.683231e-02
12,2,2,1.297397e-02
13,2,3,8.795461e-03
14,2,4,5.625650e-03
15,3,0,2.625206e-02
16,3,1,6.225853e-02
17,3,2,1.433432e-01
18,3,3,1.673544e-02
19,3,4,1.082676e-02
20,4,0,1.430426e-02
21,4,1,3.887603e-02
22,4,2,1.978800e-01
23,4,3,2.058335e-01
24,4,4,2.305208e-02

