from,to,weight
0,1,2.165718e-04
0,2,1.052989e-03
0,3,3.849581e-03
0,4,3.356962e-03
0,5,4.418581e-64
0,6,1.612461e-04
0,7,1.611777e-03
0,8,3.031619e-03
0,9,3.743861e-03
0,10,2.399944e-06
0,11,2.402547e-47
0,12,2.501824e-08
0,13,4.512699e-03
0,14,7.305763e-03
0,15,1.032610e-01
0,16,3.562069e-05
0,17,5.242881e-19
0,18,2.260237e-06
0,19,1.951837e-02
0,20,2.873884e+00
0,21,1.864409e-01
0,22,1.028856e-03
0,23,1.272132e-10
0,24,7.063922e-06
1,0,8.288729e+00
1,2,3.065314e-01
1,3,5.870159e-01
1,4,4.267216e-01
1,5,3.339651e-33
1,6,1.296158e+00
1,7,3.962974e-01
1,8,4.984298e-01
1,9,4.838041e-01
1,10,8.211370e-02
1,11,1.054991e-23
1,12,2.747841e-02
1,13,8.427411e-01
1,14,5.143470e-01
1,15,2.144560e-01
1,16,1.147208e-01
1,17,1.533494e-04
1,18,1.865167e-01
1,19,1.246881e+00
1,20,4.718145e+00
1,21,3.538985e-01
1,22,2.955482e-01
1,23,1.386822e-02
1,24,2.718181e-01
2,0,3.435586e+00
2,1,1.458838e+00
2,3,1.442438e+00
2,4,1.507438e+00
2,5,1.253617e-14
2,6,1.525223e+00
2,7,5.918295e-01
2,8,1.008655e+00
2,9,1.568367e+00
2,10,9.636121e+00
2,11,4.798282e-09
2,12,1.554289e+00
2,13,1.651576e+00
2,14,1.809229e+00
2,15,5.275246e-01
2,16,8.754296e+00
2,17,7.029295e+00
2,18,5.009122e+00
2,19,4.001382e+00
2,20,7.114634e+00
2,21,8.916954e-01
2,22,5.817442e+00
2,23,8.383060e+00
2,24,5.304542e+00
3,0,3.367108e-01
3,1,6.157937e-02
3,2,1.642066e-02
3,4,2.743530e-01
3,5,1.062403e-02
3,6,7.377733e-02
3,7,3.999079e-02
3,8,8.123910e-02
3,9,1.680862e-01
3,10,2.786210e+01
3,11,1.309373e+01
3,12,8.180865e-01
3,13,4.928849e-01
3,14,1.905846e-01
3,15,4.868151e-01
3,16,2.239507e+01
3,17,2.812292e+01
3,18,4.798906e+00
3,19,1.925483e+00
3,20,7.257794e+00
3,21,9.261538e-01
3,22,1.464624e+01
3,23,2.661100e+01
3,24,1.048048e+01
4,0,3.332345e-02
4,1,3.084954e-02
4,2,2.189300e-03
4,3,1.376846e-02
4,5,6.904533e+01
4,6,6.230206e-03
4,7,3.324990e-03
4,8,1.065625e-02
4,9,4.245284e-02
4,10,3.761550e+01
4,11,5.508649e+01
4,12,1.209263e+00
4,13,6.393243e-02
4,14,4.465832e-02
4,15,4.772939e-01
4,16,3.177871e+01
4,17,4.854670e+01
4,18,7.679969e+00
4,19,8.728305e-01
4,20,7.496237e+00
4,21,8.266512e-01
4,22,1.979579e+01
4,23,4.123529e+01
4,24,1.221609e+01
5,0,1.303695e+02
5,1,9.820659e+01
5,2,8.024078e+01
5,3,6.355168e+01
5,4,3.887606e-03
5,6,9.866415e+01
5,7,8.003100e+01
5,8,6.305621e+01
5,9,4.674494e-03
5,10,2.604680e-129
5,11,1.174356e-08
5,12,7.556760e+01
5,13,7.330633e+01
5,14,6.156536e+01
5,15,7.448035e-13
5,16,5.561581e-96
5,17,1.579173e-17
5,18,4.547044e+01
5,19,6.280777e+01
5,20,7.952380e-04
5,21,7.809345e-11
5,22,3.359774e-42
