id,b,k,sd
0,0,0,3.496439e-02
1,0,1,2.936618e-02
2,0,2,2.275104e-02
3,0,3,1.752101e-02
4,0,4,1.543194e-02
5,1,0,2.995669e-02
6,1,1,1.365682e-02
7,1,2,6.919496e-03
8,1,3,3.826148e-03
9,1,4,2.309369e-03
10,2,0,6.917121e-02
11,2,1,3.227459e-02
12,2,2,9.525067e-03
13,2,3,8.235343e-03
14,2,4,4.813593e-03
15,3,0,2.766005e-02
16,3,1,6.663994e-02
17,3,2,1.216016e-01
18,3,3,1.429360e-02
19,3,4,1.102495e-02
20,4,0,1.437093e-02
21,4,1,4.347362e-02
22,4,2,2.224749e-01
23,4,3,1.597260e-01
24,4,4,1.801148e-02

