from,to,weight
9,17,5.107355e+01
9,18,9.438080e+00
9,19,1.081268e+00
9,20,7.313873e+00
9,21,8.636640e-01
9,22,2.265349e+01
9,23,4.358784e+01
9,24,1.438705e+01
10,0,1.590864e-106
10,1,2.098811e-86
10,2,2.205792e-73
10,3,1.461624e-66
10,4,1.649377e-64
10,5,2.321949e+02
10,6,4.427897e-106
10,7,4.766935e-120
10,8,2.428496e-124
10,9,2.704249e-123
10,11,1.793119e+02
10,12,7.034147e-81
10,13,2.027922e-113
10,14,3.916984e-121
10,15,8.774897e-269
10,16,5.565931e-19
10,17,1.370978e+02
10,18,1.312752e-59
10,19,6.401642e-103
10,20,6.675825e-27
10,21,1.452455e-205
10,22,1.058075e-50
10,23,8.396339e+01
10,24,5.821851e-45
11,0,6.538829e+01
11,1,6.091947e+01
11,2,5.662508e+01
11,3,5.351373e+01
11,4,4.857847e+01
11,5,1.760640e+01
11,6,5.163310e+01
11,7,4.254602e+01
11,8,4.152384e+00
11,9,7.814087e-07
11,10,1.146252e-66
11,12,3.991471e+01
11,13,4.019960e+01
11,14,3.187422e+01
11,15,1.885716e-03
11,16,5.684843e-46
11,17,9.158455e-04
11,18,2.665389e+01
11,19,3.131124e+01
11,20,3.021228e-03
11,21,2.735045e-03
11,22,4.879301e-10
11,23,6.181172e-04
11,24,1.394076e+01
12,0,6.900777e+00
12,1,3.473058e+00
12,2,1.070208e+00
12,3,4.116310e-01
12,4,8.437778e-02
12,5,1.245164e-24
12,6,8.181018e-01
12,7,3.933826e-01
12,8,7.933844e-02
12,9,3.655420e-02
12,10,4.595734e-01
12,11,8.524608e-18
12,13,5.170888e-01
12,14,1.652548e-01
12,15,2.668888e-01
12,16,3.992211e-01
12,17,2.397793e-03
12,18,3.583070e-01
12,19,8.359468e-01
12,20,1.818695e+00
12,21,4.083988e-01
12,22,3.826414e-01
12,23,5.424515e-02
12,24,2.884127e-01
13,0,8.681160e-02
13,1,4.416107e-02
13,2,1.515957e-02
13,3,3.128866e-03
13,4,5.088409e-03
13,5,1.958510e-15
13,6,9.600929e-03
13,7,4.235923e-03
13,8,8.424434e-03
13,9,8.621280e-02
13,10,1.503623e+01
13,11,3.922564e-10
13,12,1.704397e-02
13,14,2.903928e-02
13,15,6.631591e-01
13,16,1.275951e+01
13,17,3.400775e+00
13,18,1.197321e+00
13,19,2.496470e-01
13,20,4.435678e+00
13,21,9.253658e-01
13,22,7.320052e+00
13,23,4.851513e+00
13,24,2.022046e+00
14,0,5.548096e-03
14,1,1.542495e-02
14,2,4.526917e-02
14,3,5.337711e-02
14,4,5.282820e-02
14,5,2.810560e-03
14,6,9.250010e-04
14,7,5.140787e-04
14,8,4.413104e-03
14,9,8.561613e-03
14,10,3.241047e+01
14,11,1.865445e+00
14,12,5.932230e-02
14,13,2.750971e-02
14,15,7.357943e-01
14,16,2.914252e+01
14,17,3.032940e+01
14,18,3.302425e+00
14,19,2.843639e-01
14,20,5.825658e+00
14,21,1.290206e+00
14,22,1.911532e+01
14,23,2.810775e+01
14,24,7.294429e+00
15,0,0.000000e+00
15,1,0.000000e+00
15,2,0.000000e+00
15,3,0.000000e+00
15,4,0.000000e+00
15,5,3.219479e-213
15,6,0.000000e+00
15,7,0.000000e+00
15,8,0.000000e+00
15,9,2.742064e-318
15,10,3.565609e+02
15,11,2.152809e-213
15,12,0.000000e+00
15,13,0.000000e+00
15,14,0.000000e+00
15,16,2.948434e+02
15,17,2.376246e-162
15,18,2.175618e-317
15,19,0.000000e+00
15,20,0.000000e+00
15,21,1.688239e-50
15,22,2.436921e+02
15,23,9.402420e-121
15,24,2.587595e-281
16,0,1.157593e-142
16,1,7.205576e-122
16,2,1.097957e-108
16,3,3.721308e-101
16,4,1.492603e-97
16,5,1.225139e+02
16,6,2.723465e-138
16,7,4.982817e-148
16,8,9.666188e-150
16,9,6.388161e-147
16,10,3.237970e+01
16,11,9.890593e+01
16,12,4.240833e-109
16,13,6.540034e-141
16,14,1.541012e-145
16,15,1.888402e-134
16,17,7.769033e+01
16,18,2.074436e-81
16,19,1.329236e-127
16,20,4.366503e-07
16,21,1.576339e-80
16,22,3.281799e-12
16,23,5.415901e+01
16,24,4.132905e-63
17,0,4.831239e-13
17,1,2.873275e-11
17,2,9.972711e-11
17,3,7.763837e-11
17,4,2.058880e-11
17,5,5.910949e+00
17,6,1.881597e-18
17,7,8.117094e-28
17,8,2.519858e-37
17,9,6.791776e-39
17,10,6.983142e-50
17,11,3.721466e-01
17,12,1.797973e-15
17,13,1.670300e-24
17,14,1.186662e-33
17,15,1.313613e-02
17,16,2.836468e-36
17,18,1.620362e-12
17,19,4.681920e-22
17,20,6.871427e-03
17,21,2.664925e-02
17,22,3.643266e-08
17,23,1.093224e-03
17,24,1.431443e-10
18,0,5.388568e-09
18,1,2.815956e-09
18,2,1.423269e-10
18,3,2.063702e-10
18,4,3.860747e-11
18,5,5.176300e-21
18,6,2.678822e-12
18,7,9.838643e-16
18,8,2.474068e-16
18,9,1.226650e-16
18,10,4.750004e-02
18,11,6.483157e-18
18,12,9.856949e-13
18,13,1.699521e-13
18,14,1.297789e-14
18,15,1.109656e+00
18,16,2.646209e-02
18,17,8.376745e-06
18,19,2.993321e-10
18,20,1.930762e+00
18,21,1.609370e+00
18,22,4.142121e-01
18,23,2.775913e-03
18,24,6.476241e-06
19,0,2.374177e-08
19,1,2.665133e-08
19,2,1.144236e-08
19,3,2.021248e-09
19,4,4.202918e-10
19,5,8.571473e-17
19,6,3.455197e-10
19,7,6.166539e-11
19,8,1.547806e-10
19,9,9.615858e-10
19,10,9.555490e+00
19,11,2.459382e-11
19,12,4.251161e-09
19,13,2.608258e-08
19,14,1.962316e-08
19,15,4.359064e+00
19,16,7.849617e+00
19,17,8.114664e-01
19,18,4.978999e-04
19,20,7.197850e+00
19,21,4.721877e+00
19,22,7.782081e+00
19,23,1.678578e+00
19,24,3.118427e-02
20,0,0.000000e+00
20,1,0.000000e+00
20,2,0.000000e+00
20,3,0.000000e+00
20,4,0.000000e+00
20,5,0.000000e+00
20,6,0.000000e+00
20,7,0.000000e+00
20,8,0.000000e+00
20,9,0.000000e+00
20,10,0.000000e+00
20,11,0.000000e+00
20,12,0.000000e+00
20,13,0.000000e+00
20,14,0.000000e+00
20,15,4.588504e+02
20,16,0.000000e+00
20,17,0.000000e+00
20,18,0.000000e+00
20,19,0.000000e+00
20,21,4.475573e+02
20,22,9.267201e-274
20,23,0.000000e+00
20,24,0.000000e+00
21,0,0.000000e+00
21,1,0.000000e+00
21,2,0.000000e+00
21,3,0.000000e+00
21,4,0.000000e+00
21,5,2.119798e-274
21,6,0.000000e+00
21,7,0.000000e+00
21,8,0.000000e+00
21,9,0.000000e+00
21,10,2.428538e+02
21,11,9.743363e-265
21,12,0.000000e+00
21,13,0.000000e+00
21,14,0.000000e+00
21,15,1.083947e+02
21,16,1.587867e+02
21,17,3.187634e-213
21,18,0.000000e+00
21,19,0.000000e+00
21,20,0.000000e+00
21,22,1.307839e+02
21,23,4.273326e-168
21,24,0.000000e+00
22,0,7.976113e-213
22,1,7.236157e-192
22,2,8.096355e-177
22,3,4.643838e-168
22,4,1.108013e-162
22,5,9.928213e-16
22,6,4.276107e-200
22,7,2.299923e-203
22,8,1.428069e-200
22,9,5.342681e-196
22,10,6.917777e+01
22,11,9.491128e-25
22,12,1.509362e-168
22,13,2.164744e-195
22,14,5.853446e-197
22,15,1.575444e-94
22,16,2.151434e+01
22,17,1.096804e-19
22,18,2.537791e-142
22,19,4.709952e-183
22,20,9.195836e-20
22,21,2.262616e-61
22,23,7.229471e-19
22,24,8.814020e-116
23,0,1.536191e-50
23,1,1.112419e-45
23,2,8.568173e-43
23,3,1.586630e-41
23,4,1.302335e-41
23,5,2.342992e-04
23,6,4.139152e-56
23,7,1.810835e-64
23,8,1.083678e-70
23,9,2.797843e-71
23,10,9.863048e-31
23,11,2.134667e-07
23,12,6.092508e-48
23,13,1.141503e-59
23,14,1.595803e-68
23,15,1.986437e-02
23,16,1.288172e-28
23,17,3.737637e-10
23,18,4.131951e-39
23,19,3.561450e-54
23,20,1.338916e-04
23,21,2.701063e-02
23,22,1.407364e-05
23,24,7.133784e-31
24,0,1.375124e-21
24,1,3.290376e-21
24,2,4.758835e-21
24,3,1.493610e-21
24,4,1.443937e-21
24,5,3.352349e-19
24,6,3.709243e-25
24,7,1.122043e-29
24,8,3.255580e-30
24,9,8.903973e-31
24,10,1.089902e-02
24,11,1.995009e-18
24,12,8.696222e-23
24,13,2.440151e-26
24,14,1.319254e-28
24,15,1.203786e+00
24,16,4.306692e-03
24,17,2.883291e-07
24,18,8.346859e-17
24,19,1.989381e-21
24,20,8.311087e-01
24,21,1.866883e+00
24,22,7.827272e-02
24,23,1.900243e-05
