from,to,weight
0,1,4.433821e-01
0,2,2.165386e-01
0,3,1.330611e-01
0,4,1.205750e-01
0,5,2.638663e-06
0,6,5.080216e-01
0,7,5.284674e-01
0,8,6.261150e-01
0,9,6.040255e-01
0,10,7.485537e-01
0,11,1.126839e-04
0,12,2.112950e-01
0,13,5.894898e-01
0,14,6.691421e-01
0,15,4.161433e+00
0,16,1.128394e+00
0,17,3.088026e-02
0,18,3.906816e-01
0,19,8.564793e-01
0,20,9.588873e+00
0,21,4.771817e+00
0,22,1.879731e+00
0,23,2.507409e-01
0,24,5.257411e-01
1,0,1.887258e+00
1,2,5.558596e-01
1,3,3.291911e-01
1,4,2.569837e-01
1,5,9.745127e-06
1,6,8.422636e-01
1,7,7.296057e-01
1,8,6.855717e-01
1,9,6.584091e-01
1,10,4.157747e-01
1,11,2.395251e-04
1,12,3.453243e-01
1,13,7.713882e-01
1,14,7.752658e-01
1,15,3.487422e+00
1,16,7.141850e-01
1,17,3.189364e-02
1,18,5.162891e-01
1,19,1.031134e+00
1,20,8.801927e+00
1,21,4.085824e+00
1,22,1.356857e+00
1,23,2.300875e-01
1,24,6.081968e-01
2,0,2.737464e+00
2,1,1.591987e+00
2,3,6.618017e-01
2,4,5.559965e-01
2,5,5.339872e-05
2,6,1.243740e+00
2,7,9.522426e-01
2,8,8.848374e-01
2,9,7.177997e-01
2,10,3.164984e-01
2,11,7.159601e-04
2,12,5.153857e-01
2,13,1.050611e+00
2,14,9.481428e-01
2,15,3.150064e+00
2,16,5.743531e-01
2,17,4.743209e-02
2,18,7.170270e-01
2,19,1.331955e+00
2,20,8.400284e+00
2,21,3.713134e+00
2,22,1.182366e+00
2,23,2.638612e-01
2,24,8.482371e-01
3,0,3.332540e+00
3,1,2.305410e+00
3,2,1.519109e+00
3,4,8.677003e-01
3,5,2.517449e-04
3,6,1.624433e+00
3,7,1.152665e+00
3,8,1.046464e+00
3,9,8.290699e-01
3,10,3.276386e-01
3,11,2.095881e-03
3,12,7.559245e-01
3,13,1.172266e+00
3,14,1.084711e+00
3,15,3.016265e+00
3,16,6.125810e-01
3,17,9.365444e-02
3,18,9.573322e-01
3,19,1.553760e+00
3,20,8.259691e+00
3,21,3.581954e+00
3,22,1.234876e+00
3,23,3.672151e-01
3,24,1.066646e+00
4,0,3.190137e+00
4,1,2.444096e+00
4,2,1.618298e+00
4,3,1.220287e+00
4,5,1.053007e-03
4,6,1.583412e+00
4,7,1.259308e+00
4,8,9.393349e-01
4,9,8.169757e-01
4,10,4.087193e-01
4,11,5.627397e-03
4,12,8.395339e-01
4,13,1.225426e+00
4,14,1.134970e+00
4,15,2.940695e+00
4,16,7.055456e-01
4,17,1.466816e-01
4,18,1.041976e+00
4,19,1.506780e+00
4,20,8.144130e+00
4,21,3.485485e+00
4,22,1.314585e+00
4,23,5.212866e-01
4,24,1.251786e+00
5,0,1.536760e+01
5,1,1.391129e+01
5,2,1.254742e+01
5,3,1.125786e+01
5,4,1.015245e+01
5,6,1.034838e+01
5,7,6.781002e+00
5,8,3.131107e+00
5,9,1.138157e+00
5,10,8.922070e-13
5,11,2.302649e-01
5,12,7.401739e+00
5,13,6.539775e+00
5,14,3.697163e+00
5,15,2.103144e-01
5,16,2.811856e-09
5,17,3.350410e-02
5,18,4.816455e+00
5,19,5.746819e+00
5,20,3.147027e+00
5,21,3.841692e-01
5,22,2.007848e-04
5,23,2.975102e-02
5,24,2.937088e+00
6,0,1.585731e+00
6,1,1.157368e+00
6,2,8.816162e-01
6,3,6.914610e-01
6,4,6.634824e-01
6,5,4.150234e-03
6,7,9.303650e-01
6,8,1.026356e+00
6,9,1.036885e+00
6,10,2.533361e+00
6,11,2.861001e-02
6,12,7.231270e-01
6,13,1.047590e+00
6,14,1.069009e+00
6,15,4.384701e+00
6,16,2.930286e+00
6,17,7.830122e-01
6,18,1.358332e+00
6,19,1.531062e+00
6,20,1.020385e+01
6,21,5.066284e+00
6,22,3.507155e+00
6,23,1.667618e+00
6,24,1.728884e+00
7,0,1.340132e+00
7,1,1.213001e+00
7,2,1.181847e+00
7,3,1.100790e+00
7,4,9.822473e-01
7,5,2.570942e-01
7,6,1.047048e+00
7,8,1.108281e+00
7,9,1.224352e+00
7,10,5.312567e+00
7,11,5.156040e-01
7,12,1.029341e+00
7,13,1.195794e+00
7,14,1.184863e+00
7,15,4.705861e+00
7,16,5.311914e+00
7,17,2.731276e+00
7,18,2.121573e+00
7,19,1.838541e+00
7,20,1.088471e+01
7,21,5.461040e+00
7,22,5.608871e+00
7,23,4.034521e+00
7,24,2.663264e+00
8,0,8.503185e-01
8,1,1.009400e+00
8,2,9.502785e-01
8,3,9.485337e-01
8,4,1.075297e+00
8,5,2.029843e+00
8,6,7.119750e-01
8,7,6.761249e-01
8,9,9.422364e-01
8,10,7.213081e+00
8,11,2.163905e+00
8,12,9.299989e-01
8,13,8.901238e-01
8,14,8.941165e-01
8,15,4.597582e+00
8,16,6.897083e+00
8,17,5.154109e+00
8,18,2.161496e+00
8,19,1.530236e+00
8,20,1.075989e+01
8,21,5.310739e+00
8,22,6.683175e+00
8,23,5.632243e+00
8,24,3.258648e+00
9,0,7.026949e-01
9,1,8.546283e-01
9,2,1.015571e+00
9,3,1.069538e+00
9,4,1.073644e+00
9,5,5.013660e+00
9,6,6.141402e-01
9,7,5.185456e-01
9,8,6.343593e-01
9,10,8.117719e+00
9,11,4.325654e+00
9,12,9.866927e-01
9,13,7.248539e-01
9,14,7.002620e-01
9,15,4.491949e+00
9,16,7.423499e+00
9,17,6.022831e+00
9,18,2.402739e+00
9,19,1.338620e+00
9,20,1.056557e+01
9,21,5.257371e+00
9,22,7.290548e+00
9,23,6.914499e+00
9,24,3.344168e+00
10,0,7.548310e-11
10,1,7.216359e-09
10,2,1.344054e-07
10,3,5.801898e-07
10,4,9.269827e-07
10,5,3.026288e+01
10,6,7.214093e-11
10,7,4.688399e-12
10,8,2.213462e-12
10,9,3.215053e-12
10,11,2.127699e+01
10,12,1.939134e-08
10,13,2.209194e-11
10,14,3.386108e-12
10,15,5.101584e-26
10,16,4.074894e-02
10,17,1.521601e+01
10,18,2.769813e-06
10,19,2.112726e-10
10,20,1.244081e-02
10,21,8.817228e-20
10,22,1.041358e-04
10,23,8.836747e+00
10,24,1.203258e-04
11,0,7.664295e+00
11,1,7.165287e+00
11,2,6.597393e+00
11,3,6.053558e+00
11,4,5.506664e+00
11,5,2.313350e+00
11,6,5.174312e+00
11,7,3.233129e+00
11,8,1.527521e+00
11,9,7.410950e-01
11,10,2.690880e-06
11,12,3.922193e+00
11,13,3.338136e+00
11,14,1.900323e+00
11,15,2.014666e+00
11,16,1.758055e-04
11,17,5.109191e-01
11,18,3.346901e+00
11,19,3.372853e+00
11,20,3.561291e+00
11,21,2.281293e+00
11,22,2.056915e-01
11,23,6.527837e-01
11,24,2.785227e+00
12,0,1.761485e+00
12,1,1.426997e+00
12,2,1.224833e+00
12,3,9.609211e-01
