0.0001	0	0.0397538	0.0397916	0.040084	0.0407943	0.0423359	0.20276
0.0001	1	0.0397606	0.0397617	0.0398215	0.0401265	0.0408717	0.200342
0.0001	2	0.0397617	0.0397625	0.0397646	0.0398224	0.0401043	0.199216
0.0001	3	0.0397613	0.0397618	0.039762	0.0397646	0.0398233	0.198873
0.0001	4	0.0397619	0.0397613	0.039761	0.0397611	0.0397646	0.19881

0.0002	0	0.0395002	0.0395774	0.0401654	0.0416038	0.0447828	0.20563
0.0002	1	0.0395141	0.0395161	0.0396369	0.0402499	0.0417577	0.200675
0.0002	2	0.0395162	0.0395178	0.0395222	0.0396389	0.0402045	0.1984
0.0002	3	0.0395154	0.0395165	0.0395167	0.0395225	0.0396407	0.197712
0.0002	4	0.0395166	0.0395154	0.0395147	0.0395151	0.0395225	0.197584

0.0003	0	0.039239	0.0393573	0.0402438	0.0424291	0.0473424	0.208612
0.0003	1	0.0392602	0.0392632	0.0394462	0.0403699	0.0426582	0.200998
0.0003	2	0.0392633	0.0392658	0.0392728	0.0394493	0.0403004	0.197552
0.0003	3	0.0392621	0.0392638	0.0392643	0.0392735	0.039452	0.196516
0.0003	4	0.039264	0.0392622	0.0392612	0.039262	0.0392738	0.196323

0.0004	0	0.0389703	0.0391312	0.0403193	0.0432706	0.0500164	0.211708
0.0004	1	0.038999	0.039003	0.0392493	0.0404865	0.0435732	0.201311
0.0004	2	0.0390031	0.0390064	0.0390163	0.0392534	0.0403916	0.196671
0.0004	3	0.0390016	0.0390037	0.0390045	0.0390177	0.039257	0.195284
0.0004	4	0.0390041	0.0390016	0.0390003	0.0390017	0.0390183	0.195026

0.0005	0	0.0386939	0.038899	0.0403916	0.0441287	0.0528059	0.214919
0.0005	1	0.0387305	0.0387354	0.0390459	0.0405994	0.0445026	0.201614
0.0005	2	0.0387356	0.0387397	0.0387526	0.0390512	0.0404779	0.195757
0.0005	3	0.0387336	0.0387363	0.0387374	0.0387548	0.0390556	0.194018
0.0005	4	0.0387367	0.0387337	0.0387321	0.0387341	0.0387559	0.193692

0.0006	0	0.0384101	0.0386606	0.0404605	0.0450039	0.0557116	0.218247
0.0006	1	0.0384546	0.0384605	0.038836	0.0407083	0.0454464	0.201906
0.0006	2	0.0384606	0.0384655	0.0384818	0.0388425	0.0405591	0.194809
0.0006	3	0.0384583	0.0384615	0.038463	0.038485	0.0388476	0.192715
0.0006	4	0.038462	0.0384583	0.0384565	0.0384592	0.0384866	0.192323

0.0007	0	0.0381187	0.038416	0.0405259	0.0458969	0.0587336	0.221691
0.0007	1	0.0381713	0.0381781	0.0386195	0.0408131	0.0464046	0.202187
0.0007	2	0.0381783	0.0381839	0.0382038	0.0386272	0.0406351	0.193828
0.0007	3	0.0381756	0.0381793	0.0381813	0.0382081	0.0386331	0.191377
0.0007	4	0.0381799	0.0381757	0.0381736	0.0381771	0.0382104	0.190917

0.0008	0	0.0378199	0.038165	0.0405877	0.046808	0.0618716	0.225252
0.0008	1	0.0378807	0.0378885	0.0383963	0.0409136	0.0473771	0.202456
0.0008	2	0.0378887	0.0378951	0.0379187	0.0384052	0.0407054	0.192813
0.0008	3	0.0378857	0.0378898	0.0378923	0.0379242	0.0384118	0.190004
0.0008	4	0.0378905	0.0378857	0.0378834	0.0378878	0.0379273	0.189475

0.0009	0	0.0375138	0.0379079	0.0406457	0.047738	0.0651246	0.22893
0.0009	1	0.037583	0.0375916	0.0381665	0.0410095	0.048364	0.202715
0.0009	2	0.0375918	0.0375989	0.0376265	0.0381766	0.0407701	0.191764
0.0009	3	0.0375884	0.037593	0.0375961	0.0376334	0.0381837	0.188595
0.0009	4	0.0375939	0.0375885	0.0375859	0.0375913	0.0376373	0.187997

0.001	0	0.0372005	0.0376444	0.0406998	0.0486873	0.0684908	0.232723
0.001	1	0.0372781	0.0372876	0.0379301	0.0411008	0.0493651	0.202962
0.001	2	0.0372878	0.0372957	0.0373273	0.0379412	0.0408288	0.190681
0.001	3	0.0372841	0.0372892	0.0372928	0.0373357	0.0379489	0.187151
